[2025-04-22 14:34:23,865] INFO - 🚀 Starting preprocessing...
[2025-04-22 14:34:24,921] ERROR - ❌ Failed to load dataset: [Errno 2] No such file or directory: 'movies.csv'
[2025-04-22 14:34:45,047] INFO - 🚀 Starting preprocessing...
[2025-04-22 14:34:45,393] ERROR - ❌ Failed to load dataset: [Errno 2] No such file or directory: './dataset/movies.csv'
[2025-04-22 14:35:14,516] INFO - 🚀 Starting preprocessing...
[2025-04-22 14:35:15,665] INFO - ✅ Dataset loaded successfully. Total rows: 4803
[2025-04-22 14:35:15,670] INFO - 🧹 Cleaning text...
[2025-04-22 14:35:16,564] INFO - ✅ Text cleaned.
[2025-04-22 14:35:16,570] INFO - 🔠 Vectorizing using TF-IDF...
[2025-04-22 14:35:16,736] INFO - ✅ TF-IDF matrix shape: (4387, 5000)
[2025-04-22 14:35:16,738] INFO - 📐 Calculating cosine similarity...
[2025-04-22 14:35:17,007] INFO - ✅ Cosine similarity matrix generated.
[2025-04-22 14:35:17,152] INFO - 💾 Data saved to disk.
[2025-04-22 14:35:17,152] INFO - ✅ Preprocessing complete.
[2025-04-22 14:50:49,190] INFO - 🚀 Starting preprocessing...
[2025-04-22 14:50:49,903] INFO - ✅ Dataset loaded successfully. Total rows: 4803
[2025-04-22 14:50:49,914] INFO - 🧹 Cleaning text...
[2025-04-22 14:50:50,829] INFO - ✅ Text cleaned.
[2025-04-22 14:50:50,829] INFO - 🔠 Vectorizing using TF-IDF...
[2025-04-22 14:50:50,993] INFO - ✅ TF-IDF matrix shape: (4387, 5000)
[2025-04-22 14:50:50,993] INFO - 📐 Calculating cosine similarity...
[2025-04-22 14:50:51,273] INFO - ✅ Cosine similarity matrix generated.
[2025-04-22 14:50:51,455] INFO - 💾 Data saved to disk.
[2025-04-22 14:50:51,455] INFO - ✅ Preprocessing complete.
